iter	Passed	Remaining
618	5966	3672
619	5975	3662
620	5984	3652
621	5993	3642
622	6002	3632
623	6012	3622
624	6020	3612
625	6029	3602
626	6038	3592
627	6047	3582
628	6057	3573
629	6067	3563
630	6076	3553
631	6086	3544
632	6096	3534
633	6107	3525
634	6115	3515
635	6125	3505
636	6132	3494
637	6143	3485
638	6153	3476
639	6161	3466
640	6170	3455
641	6180	3446
642	6188	3435
643	6197	3425
644	6206	3416
645	6216	3406
646	6224	3396
647	6233	3385
648	6242	3376
649	6250	3365
650	6259	3355
651	6270	3347
652	6280	3337
653	6289	3327
654	6298	3317
655	6313	3310
656	6324	3301
657	6332	3291
658	6342	3281
659	6351	3271
660	6360	3262
661	6378	3256
662	6393	3249
663	6406	3241
664	6418	3233
665	6428	3223
666	6438	3214
667	6448	3204
668	6458	3195
669	6470	3186
670	6479	3176
671	6488	3166
672	6497	3157
673	6508	3147
674	6517	3138
675	6526	3128
676	6534	3117
677	6544	3108
678	6555	3099
679	6567	3090
680	6577	3080
681	6586	3070
682	6593	3060
683	6603	3050
684	6611	3040
685	6620	3030
686	6628	3019
687	6638	3010
688	6648	3001
689	6655	2990
690	6664	2980
691	6673	2970
692	6683	2960
693	6691	2950
694	6701	2940
695	6709	2930
696	6718	2920
697	6726	2910
698	6734	2900
699	6742	2889
700	6751	2879
701	6760	2869
702	6768	2859
703	6777	2849
704	6787	2840
705	6797	2830
706	6804	2819
707	6813	2809
708	6820	2799
709	6829	2789
710	6836	2778
711	6845	2768
712	6854	2759
713	6863	2749
714	6873	2739
715	6881	2729
716	6889	2719
717	6898	2709
718	6906	2699
719	6916	2689
720	6924	2679
721	6932	2669
722	6940	2659
723	6951	2650
724	6960	2640
725	6969	2630
726	6980	2621
727	6988	2611
728	6998	2601
729	7006	2591
730	7016	2581
731	7025	2572
732	7033	2561
733	7042	2552
734	7051	2542
735	7060	2532
736	7068	2522
737	7077	2512
738	7085	2502
739	7094	2492
740	7101	2482
741	7109	2472
742	7117	2462
743	7127	2452
744	7136	2442
745	7145	2433
746	7153	2422
747	7164	2413
748	7173	2404
749	7181	2393
750	7192	2384
751	7201	2374
752	7212	2365
753	7223	2356
754	7230	2346
755	7241	2337
756	7249	2327
757	7261	2318
758	7269	2308
759	7279	2298
760	7290	2289
761	7302	2280
762	7312	2271
763	7321	2261
764	7330	2251
765	7339	2242
766	7348	2232
767	7358	2222
768	7367	2213
769	7376	2203
770	7386	2193
771	7396	2184
772	7406	2174
773	7416	2165
774	7425	2155
775	7433	2145
776	7442	2135
777	7453	2126
778	7462	2117
779	7471	2107
780	7482	2098
781	7492	2088
782	7501	2078
783	7510	2069
784	7519	2059
785	7529	2049
786	7539	2040
787	7548	2030
788	7556	2020
789	7563	2010
790	7572	2000
791	7581	1991
792	7589	1981
793	7597	1971
794	7608	1961
795	7616	1951
796	7624	1942
797	7635	1932
798	7642	1922
799	7658	1914
800	7673	1906
801	7685	1897
802	7704	1890
803	7713	1880
804	7724	1871
805	7735	1861
806	7744	1852
807	7754	1842
808	7763	1832
809	7770	1822
810	7781	1813
811	7790	1803
812	7801	1794
813	7809	1784
814	7818	1774
815	7827	1764
816	7838	1755
817	7846	1745
818	7855	1736
819	7865	1726
820	7874	1716
821	7884	1707
822	7894	1697
823	7902	1687
824	7909	1677
825	7919	1668
826	7928	1658
827	7936	1648
828	7944	1638
829	7953	1628
830	7962	1619
831	7970	1609
832	7977	1599
833	7986	1589
834	7994	1579
835	8002	1569
836	8011	1560
837	8021	1550
838	8030	1540
839	8037	1530
840	8046	1521
841	8055	1511
842	8065	1502
843	8074	1492
844	8084	1482
845	8093	1473
846	8102	1463
847	8111	1453
848	8119	1444
849	8128	1434
850	8136	1424
851	8145	1414
852	8154	1405
853	8163	1395
854	8171	1385
855	8181	1376
856	8188	1366
857	8197	1356
858	8208	1347
859	8218	1337
860	8227	1328
861	8234	1318
862	8247	1309
863	8256	1299
864	8267	1290
865	8276	1280
866	8288	1271
867	8298	1261
868	8309	1252
869	8319	1243
870	8329	1233
871	8337	1223
872	8347	1214
873	8356	1204
874	8364	1194
875	8374	1185
876	8382	1175
877	8391	1165
878	8400	1156
879	8409	1146
880	8420	1137
881	8430	1127
882	8440	1118
883	8448	1108
884	8458	1099
885	8467	1089
886	8476	1079
887	8486	1070
888	8495	1060
889	8504	1051
890	8512	1041
891	8523	1031
892	8532	1022
893	8540	1012
894	8550	1003
895	8559	993
896	8567	983
897	8576	974
898	8585	964
899	8593	954
900	8604	945
901	8613	935
902	8622	926
903	8629	916
904	8639	906
905	8648	897
906	8658	887
907	8669	878
908	8679	868
909	8692	859
910	8701	850
911	8709	840
912	8722	831
913	8731	821
914	8741	812
915	8748	802
916	8757	792
917	8767	783
918	8776	773
919	8785	763
920	8794	754
921	8804	744
922	8812	735
923	8822	725
924	8831	716
925	8839	706
926	8845	696
927	8854	687
928	8863	677
929	8872	667
930	8882	658
931	8890	648
932	8904	639
933	8919	630
934	8966	623
935	8984	614
936	9009	605
937	9029	596
938	9041	587
939	9050	577
940	9060	568
941	9070	558
942	9080	548
943	9088	539
944	9099	529
945	9106	519
946	9115	510
947	9124	500
948	9134	490
949	9143	481
950	9152	471
951	9162	461
952	9171	452
953	9181	442
954	9188	432
955	9198	423
956	9207	413
957	9217	404
958	9228	394
959	9239	384
960	9247	375
961	9254	365
962	9265	355
963	9278	346
964	9288	336
965	9297	327
966	9305	317
967	9314	307
968	9323	298
969	9333	288
970	9342	279
971	9352	269
972	9360	259
973	9369	250
974	9377	240
975	9384	230
976	9393	221
977	9402	211
978	9412	201
979	9420	192
980	9430	182
981	9437	172
982	9447	163
983	9457	153
984	9466	144
985	9475	134
986	9483	124
987	9491	115
988	9500	105
989	9511	96
990	9521	86
991	9531	76
992	9541	67
993	9549	57
994	9560	48
995	9570	38
996	9578	28
997	9590	19
998	9600	9
999	9611	0
