,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  ферванит,ферспл  фх850А,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый N_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Mn,химсталь последний N,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
3821,28.0,41.033333299999995,20.8166667,40.8666667,4.222361299999999,0.3982067,0.104904,0.13228800000000002,0.104104,0.0931418,1558.0,14.447835999999999,14.9466726,13471.897518000002,116.0,10.571,9.296,0.172,0.05,0.401,0.057999999999999996,0.02,0.10400000000000001,0.20800000000000002,0.023944,0.18600000000000003,0.001,0.532,0.20600000000000002,0.6779999999999999,0.008,0.44,0.003,0.003,0.836,0.0004,0.293,0.797,0.011000000000000001,0.527,0.08199999999999999,3.0,56.9,0.3,13.4,0.08,2.1,26.7,3.0,56.8,0.4,13.5,0.08,2.1,26.7
3822,27.0,47.05,23.966666699999998,46.3833333,3.0,0.4706,0.093624,0.13811400000000001,0.11414200000000001,0.0943683,1564.0,15.775174100000001,15.7242857,12582.475660600001,117.1,18.250999999999998,6.115,0.14800000000000002,0.05,0.515,0.07,0.02,0.11699999999999999,0.217,0.02445,0.166,0.002,0.486,0.209,0.667,0.006999999999999999,0.424,0.003,0.003,0.825,0.0004,0.287,0.7929999999999999,0.011000000000000001,0.547,0.08199999999999999,3.9,53.0,0.6,14.1,0.18,2.0,25.9,3.3,56.7,0.4,12.2,0.09,2.1,26.7
3823,36.0,41.8833333,18.033333300000002,41.716666700000005,3.0,0.45446499999999995,0.08742,0.11853599999999999,0.10611300000000001,0.09151039999999999,1587.0,13.838749499999999,17.4928177,12130.868761599999,113.1,9.345,12.313,0.10300000000000001,0.050000100000000006,0.49700000000000005,0.058,0.02,0.113,0.18600000000000003,0.023763,0.155,0.002,0.511,0.212,0.685,0.008,0.44799999999999995,0.003,0.003,0.85,0.0002,0.28800000000000003,0.7929999999999999,0.013999999999999999,0.544,0.083,3.3,51.7,0.4,17.3,0.11,2.0,25.9,3.6,47.0,0.8,12.5,0.1,2.1,22.8
3824,35.0,49.05,23.6666667,48.716666700000005,3.2110209,0.47848500000000005,0.095316,0.17694000000000001,0.1463,0.0920753,1584.0,11.4948015,11.8536585,12037.1830986,117.2,15.600999999999999,3.105,0.38799999999999996,0.139,0.446,0.055,0.02,0.15,0.278,0.023872,0.16899999999999998,0.001,0.485,0.207,0.64,0.009000000000000001,0.41700000000000004,0.003,0.003,0.845,0.0003,0.287,0.7959999999999999,0.011000000000000001,0.534,0.083,4.1,49.9,0.8,17.0,0.18,2.0,25.6,4.5,56.4,0.6,13.1,0.16,2.3,24.5
3825,42.0,42.716666700000005,21.75,42.2,4.0968248,0.474025,0.086292,0.127332,0.107261,0.0905599,1553.0,7.7025489,7.7685353,12788.9655172,113.0,7.218999999999999,3.58,0.158,0.47700000000000004,0.152,0.027999999999999997,0.02,0.111,0.2,0.022966999999999998,0.153,0.001,0.474,0.214,0.6709999999999999,0.006999999999999999,0.449,0.003,0.002,0.851,0.0003,0.289,0.7859999999999999,0.01,0.5379999999999999,0.084,3.3,53.4,0.6,15.1,0.11,2.0,26.2,3.5,54.9,0.9,13.3,0.18,2.1,26.2
3826,40.0,45.55,27.1,45.55,4.5157739999999995,0.447995,0.080652,0.125346,0.101528,0.09283519999999999,1525.0,11.6660996,12.7215973,12989.6678967,115.9,8.001,10.619000000000002,0.141,0.05,0.49,0.0,0.02,0.10300000000000001,0.19699999999999998,0.02304,0.14300000000000002,0.002,0.507,0.22,0.682,0.008,0.45299999999999996,0.003,0.003,0.853,0.0004,0.28800000000000003,0.7909999999999999,0.013999999999999999,0.536,0.084,3.7,53.3,0.4,15.1,0.1,2.1,25.3,2.9,54.3,0.4,12.5,0.11,2.0,27.5
3827,38.0,46.2,21.8833333,46.033333299999995,3.4003107000000004,0.458135,0.06486,0.163212,0.149611,0.09197580000000001,1559.0,16.3730443,16.8941799,12283.320639799998,117.7,9.651,15.965,0.132,0.05,0.504,0.0,0.02,0.161,0.256,0.024233,0.115,0.001,0.47600000000000003,0.233,0.6459999999999999,0.006,0.41,0.003,0.003,0.8640000000000001,0.0002,0.28800000000000003,0.797,0.016,0.551,0.083,4.3,51.0,1.6,13.4,0.33,2.1,24.8,5.4,51.4,1.0,13.2,0.12,2.0,25.4
3828,39.0,47.8666667,24.4833333,47.55,4.0057258000000004,0.423155,0.079524,0.139206,0.105378,0.0902207,1550.0,12.3880464,12.699611099999998,12826.684819600001,112.7,7.715,11.793,0.17300000000000001,0.05,0.45899999999999996,0.0,0.02,0.10300000000000001,0.21899999999999997,0.023184,0.141,0.001,0.5329999999999999,0.218,0.6729999999999999,0.008,0.44799999999999995,0.003,0.002,0.838,0.0001,0.287,0.7959999999999999,0.017,0.551,0.084,3.5,49.6,1.0,17.1,0.15,1.9,26.0,3.4,56.2,0.4,12.5,0.07,2.1,26.9
3829,41.0,53.5666667,25.216666699999998,51.783333299999995,4.2077856,0.44405,0.09700800000000001,0.182928,0.131124,0.0917216,1539.0,8.1005591,7.267516900000001,13571.9762062,116.9,10.866,2.6910000000000003,0.175,0.331,0.237,0.027999999999999997,0.02,0.124,0.28800000000000003,0.023799,0.172,0.001,0.517,0.209,0.6409999999999999,0.011000000000000001,0.426,0.003,0.003,0.847,0.0002,0.29,0.795,0.013999999999999999,0.544,0.08199999999999999,4.1,51.3,0.9,15.7,0.09,1.9,26.6,3.3,56.2,0.6,11.4,0.11,2.1,27.2
3830,52.0,48.3833333,22.5166667,48.216666700000005,3.9014149,0.42253999999999997,0.09136799999999999,0.18295799999999998,0.16675399999999999,0.0900903,1556.0,11.733644900000002,11.533261099999999,12614.6558105,113.0,9.765,8.871,0.322,0.121,0.39299999999999996,0.0,0.02,0.179,0.287,0.023872,0.162,0.001,0.522,0.205,0.619,0.011000000000000001,0.397,0.003,0.002,0.867,0.0005,0.28600000000000003,0.7909999999999999,0.017,0.545,0.084,3.4,45.8,0.6,16.6,0.59,1.6,28.3,3.8,53.5,0.7,13.8,0.18,2.0,26.1
