;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл SiMn18;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
4188;Э76ХФ;Р65;32,0;59,033333299999995;26,983333299999998;59,033333299999995;3,6173121;0,389305;0,111153;0,06068200000000001;0,054483000000000004;0,0390685;1562,0;1599,0;14,6104932;12968,004941299998;112,2;1,0;28,389;0,121;0,05;0,414;0,039;0,02;0,049081;0,059000000000000004;0,094;0,201;5832,0;0,002;0,46799999999999997;0,32;0,124;0,743;0,006;0,01;0,059000000000000004;0,011000000000000001;0,022000000000000002;0,522;0,002;0,003;0,004;0,777;0,0003;0,418;0,124;0,797;0,006;0,013000000000000001;0,059000000000000004;0,012;0,013000000000000001;0,55;0,003;0,039;4,8;53,6;0,2;9,0;0,08;2,5;21,6;6,2;57,7;0,4;5,2;0,08;2,7;21,3
4189;Э76ХФ;Р65;49,0;51,8666667;24,4;51,8666667;2,99082745;0,47865;0,148204;0,172731;0,166743;0,0406231;1587,0;1597,0;15,454039999999999;12786,885245899999;118,8;1,0;24,705;0,209;0,05;0,513;0,071;0,02;0,051033999999999996;0,18600000000000003;0,267;0,268;5200,0;0,002;0,414;0,295;0,121;0,64;0,006;0,01;0,063;0,009000000000000001;0,025;0,446;0,002;0,002;0,004;0,762;0,0003;0,418;0,12300000000000001;0,7859999999999999;0,006;0,012;0,064;0,011000000000000001;0,013000000000000001;0,562;0,003;0,038;5,2;53,1;0,8;9,1;0,08;2,2;23,7;4,4;56,5;0,3;9,8;0,12;2,2;26,0
4190;Э76ХФ;Р65;61,0;54,55;34,3166667;54,55;4,433201599999999;0,459315;0,127743;0,145451;0,096105;0,039327999999999995;1519,0;1588,0;16,7957343;13857,9893152;115,2;1,0;24,936999999999998;0,158;0,05;0,494;0,067;0,02;0,049407;0,08800000000000001;0,22699999999999998;0,231;7926,0;0,002;0,43799999999999994;0,308;0,133;0,667;0,006999999999999999;0,011000000000000001;0,079;0,006999999999999999;0,025;0,47100000000000003;0,002;0,002;0,004;0,748;0,0003;0,41600000000000004;0,128;0,797;0,006999999999999999;0,013999999999999999;0,078;0,008;0,016;0,5670000000000001;0,004;0,039;5,3;56,4;0,8;4,2;0,08;2,7;20,8;5,4;58,0;0,6;6,9;0,1;2,2;26,0
4191;Э76ХФ;Р65;20,0;49,55;22,4833333;49,55;2,99082745;0,452295;0,135485;0,16938599999999998;0,160029;0,0397889;1587,0;1577,0;17,3179783;12838,8435878;116,9;1,0;28,363000000000003;0,17800000000000002;0,05;0,483;0,045;0,02;0,049986;0,177;0,262;0,245;4811,0;0,002;0,435;0,308;0,12;0,642;0,006999999999999999;0,012;0,07200000000000001;0,008;0,026000000000000002;0,45;0,001;0,002;0,003;0,754;0,0007;0,423;0,12;0,7879999999999999;0,006999999999999999;0,015;0,07200000000000001;0,009000000000000001;0,016;0,564;0,003;0,037000000000000005;5,3;52,2;0,4;6,9;0,1;2,6;20,0;5,6;51,8;0,5;13,0;0,22;2,0;25,5
4192;Э76ХФ;Р65;30,0;42,1833333;24,1833333;42,1833333;3,1817724;0,409405;0,125531;0,090794;0,13557;0,042180300000000004;1553,0;1584,0;11,8437956;13139,6278429;115,7;1,0;16,226;0,077;0,05;0,435;0,065;0,02;0,05280700000000001;0,172;0,138;0,22699999999999998;5296,0;0,002;0,465;0,315;0,098;0,716;0,006;0,011000000000000001;0,057999999999999996;0,009000000000000001;0,02;0,45799999999999996;0,003;0,003;0,003;0,7859999999999999;0,0003;0,42100000000000004;0,098;0,7879999999999999;0,006;0,013000000000000001;0,059000000000000004;0,009000000000000001;0,017;0,5720000000000001;0,004;0,04;5,9;62,7;0,3;4,2;0,06;2,8;22,5;6,0;61,0;0,3;5,7;0,1;2,7;22,8
4196;Э76ХФ;Р65;37,0;45,8333333;19,0166667;45,8333333;3,1365187999999997;0,40909409999999996;0,148204;0,094532;0,134643;0,039745800000000005;1575,0;1574,0;18,5663665;13437,6862401;115,7000001;1,0;28,061;0,087;0,05;0,41600000000000004;0,05;0,02;0,049732;0,16899999999999998;0,14400000000000002;0,268;4259,0;0,002;0,444;0,29600000000000004;0,10300000000000001;0,705;0,006;0,009000000000000001;0,063;0,008;0,018000000000000002;0,457;0,002;0,002;0,003;0,7709999999999999;0,0003;0,413;0,10099999999999999;0,789;0,006;0,013000000000000001;0,064;0,009000000000000001;0,013000000000000001;0,5710000000000001;0,003;0,038;5,2;55,5;0,4;11,0;0,11;2,3;23,8;5,3;56,8;0,5;8,3;0,13;2,2;25,5
4198;Э76ХФ;Р65;37,0;39,9;15,733333300000002;39,9;3,0;0,40502059999999995;0,165347;0,126862;0,165327;0,038792400000000005;1583,0;1575,0;13,5024804;12611,440678;117,0;1,0;17,692;0,043;0,05;0,40299999999999997;0,038;0,02;0,048539;0,203;0,19399999999999998;0,299;3307,0;0,002;0,474;0,276;0,07200000000000001;0,6759999999999999;0,004;0,011000000000000001;0,051;0,008;0,016;0,441;0,002;0,003;0,003;0,7859999999999999;0,0003;0,41700000000000004;0,073;0,785;0,005;0,013999999999999999;0,052000000000000005;0,009000000000000001;0,013000000000000001;0,5760000000000001;0,003;0,037000000000000005;5,6;58,3;0,5;11,1;0,13;2,5;23,1;5,5;57,0;0,8;7,8;0,13;2,3;25,2
4199;Э76ХФ;Р65;28,0;40,033333299999995;18,0;40,033333299999995;2,7171053;0,3866212;0,14931;0,12383;0,148368;0,038676499999999996;1564,0;1579,0;11,9448045;12566,6666667;115,7;1,0;15,87;0,085;0,05;0,389;0,038;0,02;0,048394;0,17800000000000002;0,19;0,27;3770,0;0,002;0,474;0,289;0,08199999999999999;0,6829999999999999;0,005;0,009000000000000001;0,057;0,006999999999999999;0,019;0,455;0,002;0,003;0,003;0,79;0,0003;0,413;0,083;0,7859999999999999;0,005;0,013000000000000001;0,057999999999999996;0,008;0,015;0,557;0,003;0,037000000000000005;5,5;58,5;0,4;10,7;0,13;2,5;23,6;4,7;56,8;0,6;7,6;0,13;2,1;26,6
4200;Э76ХФ;Р65;25,0;42,0166667;14,65;42,0166667;2,5856865;0,36495;0,148204;0,111783;0,144468;0,0383296;1584,0;1579,0;12,9524476;12774,061433399998;114,0;1,0;17,493;0,096;0,05;0,375;0,07;0,02;0,04796;0,177;0,171;0,268;3119,0;0,002;0,491;0,29100000000000004;0,098;0,687;0,006;0,01;0,06;0,006999999999999999;0,017;0,449;0,002;0,002;0,003;0,757;0,0003;0,418;0,09699999999999999;0,787;0,006;0,012;0,06;0,008;0,015;0,573;0,003;0,038;5,0;58,0;0,6;10,5;0,14;2,5;22,9;5,8;57,3;0,8;8,6;0,13;2,5;23,3
4201;Э76ХФ;Р65;28,0;40,7;22,3833333;40,7;2,99082745;0,40170300000000003;0,172536;0,13203900000000002;0,14994000000000002;0,0393702;1561,0;1579,0;18,225552800000003;12075,9493671;115,5;1,0;24,726;0,091;0,05;0,408;0,051;0,02;0,049262;0,177;0,203;0,312;4505,0;0,003;0,473;0,275;0,085;0,6759999999999999;0,005;0,01;0,064;0,006999999999999999;0,019;0,457;0,003;0,002;0,004;0,758;0,0011;0,42100000000000004;0,087;0,7879999999999999;0,006;0,012;0,065;0,008;0,012;0,5760000000000001;0,004;0,038;5,0;55,9;0,3;9,4;0,1;2,6;21,1;5,6;57,5;0,6;9,6;0,13;2,3;25,1
